"solution_name","connector_id","table_name"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_ravpnlogs_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_ztaflow_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_ztna_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_audit_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_cloudfirewall_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_dlp_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_dns_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_fileevent_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_firewall_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_intrusion_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_ip_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_proxy_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_ravpnlogs_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_ztaflow_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnectorelasticpremium","Cisco_Umbrella_ztna_CL"
"CiscoWSA","",""
"CiscoWSA","CiscoWSA","Syslog"
"Citrix ADC","",""
"Citrix ADC","CitrixADC","ASimSourceType"
"Citrix ADC","CitrixADC","Syslog"
"Citrix Analytics for Security","",""
"Citrix Analytics for Security","Citrix","CitrixAnalytics_indicatorEventDetails_CL"
"Citrix Analytics for Security","Citrix","CitrixAnalytics_indicatorSummary_CL"
"Citrix Analytics for Security","Citrix","CitrixAnalytics_riskScoreChange_CL"
"Citrix Analytics for Security","Citrix","CitrixAnalytics_userProfile_CL"
"Citrix Web App Firewall","",""
"Citrix Web App Firewall","CitrixWAF","CommonSecurityLog"
"Citrix Web App Firewall","CitrixWAFAma","CommonSecurityLog"
"Claroty","",""
"Claroty","Claroty","CommonSecurityLog"
"Claroty","ClarotyAma","CommonSecurityLog"
"Claroty xDome","",""
"Claroty xDome","ClarotyxDome","CommonSecurityLog"
"Cloud Identity Threat Protection Essentials","",""
"Cloud Service Threat Protection Essentials","",""
"Cloudflare","",""
"Cloudflare","CloudflareDataConnector","Cloudflare_CL"
"Cloudflare","CloudflareDefinition","CloudflareV2_CL"
"Cloudflare CCF","",""
"Cloudflare CCF","CloudflareDefinition","CloudflareV2_CL"
"CofenseIntelligence","",""
"CofenseIntelligence","CofenseIntelligence","Malware_Data_CL"
"CofenseIntelligence","CofenseIntelligence","ThreatIntelligenceIndicator"
"CofenseTriage","",""
"CofenseTriage","CofenseTriage","Cofense_Triage_failed_indicators_CL"
"CofenseTriage","CofenseTriage","Report_links_data_CL"
"CofenseTriage","CofenseTriage","ThreatIntelligenceIndicator"
"Cognni","",""
"Cognni","CognniSentinelDataConnector","CognniIncidents_CL"
"CognyteLuminar","",""
"CognyteLuminar","CognyteLuminar","ThreatIntelligenceIndicator"
"CohesitySecurity","",""
"CohesitySecurity","CohesityDataConnector","Cohesity_CL"
"Common Event Format","",""
"Common Event Format","CEF","CommonSecurityLog"
"Common Event Format","CefAma","CommonSecurityLog"
"Commvault Security IQ","",""
"Commvault Security IQ","CommvaultSecurityIQ_CL","CommvaultSecurityIQ_CL"
"ContinuousDiagnostics&Mitigation","",""
"Contrast Protect","",""
"Contrast Protect","ContrastProtect","CommonSecurityLog"
"Contrast Protect","ContrastProtectAma","CommonSecurityLog"
"ContrastADR","",""
"ContrastADR","ContrastADR","ContrastADRIncident_CL"
"ContrastADR","ContrastADR","ContrastADR_CL"
"Corelight","",""
"Corelight","CorelightConnectorExporter","Corelight_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_bacnet_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_capture_loss_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_cip_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_conn_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_conn_long_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_conn_red_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_corelight_burst_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_corelight_overall_capture_loss_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_corelight_profiling_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_datared_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_dce_rpc_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_dga_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_dhcp_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_dnp3_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_dns_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_dns_red_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_dpd_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_encrypted_dns_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_enip_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_enip_debug_CL"
